112641,22/11/1995,Casino,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles,Alan King,Kevin Pollak,L.Q. Jones,Dick Smothers,Frank Vincent,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,Don Rickles,Alan King,Kevin Pollak,L.Q. Jones,Dick Smothers,Frank Vincent
114388,13/12/1995,Sense and Sensibility,Ang Lee,James Fleet,Tom Wilkinson,Harriet Walter,Kate Winslet,Emma Thompson,Gemma Jones,Hugh Grant,Emilie François,Elizabeth Spriggs,Robert Hardy,James Fleet,Tom Wilkinson,Harriet Walter,Kate Winslet,Emma Thompson,Gemma Jones,Hugh Grant,Emilie François,Elizabeth Spriggs,Robert Hardy
113101,09/12/1995,Four Rooms,Allison Anders,Sammi Davis,Amanda De Cadenet,Valeria Golino,Madonna,Ione Skye,Lili Taylor,Alicia Witt,Jennifer Beals,David Proval,Antonio Banderas,Sammi Davis,Amanda De Cadenet,Valeria Golino,Madonna,Ione Skye,Lili Taylor,Alicia Witt,Jennifer Beals,David Proval,Antonio Banderas
112281,10/11/1995,Ace Ventura: When Nature Calls,Steve Oedekerk,Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi,Bob Gunton,Sophie Okonedo,Tommy Davidson,Adewale Akinnuoye-Agbaje,Danny Daniels,Sam Phillips,Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi,Bob Gunton,Sophie Okonedo,Tommy Davidson,Adewale Akinnuoye-Agbaje,Danny Daniels,Sam Phillips
113845,21/11/1995,Money Train,Joseph Ruben,Wesley Snipes,Woody Harrelson,Jennifer Lopez,Robert Blake,Chris Cooper,Joe Grifasi,Scott Sowers,Skipp Sudduth,Vincent Laresca,Nelson Vasquez,Wesley Snipes,Woody Harrelson,Jennifer Lopez,Robert Blake,Chris Cooper,Joe Grifasi,Scott Sowers,Skipp Sudduth,Vincent Laresca,Nelson Vasquez
113161,20/10/1995,Get Shorty,Barry Sonnenfeld,John Travolta,Gene Hackman,Rene Russo,Danny DeVito,Dennis Farina,Delroy Lindo,James Gandolfini,Jon Gries,Renee Props,David Paymer,John Travolta,Gene Hackman,Rene Russo,Danny DeVito,Dennis Farina,Delroy Lindo,James Gandolfini,Jon Gries,Renee Props,David Paymer
112722,27/10/1995,Copycat,Jon Amiel,Sigourney Weaver,Holly Hunter,Dermot Mulroney,William McNamara,Harry Connick Jr.,J.E. Freeman,Will Patton,John Rothman,Shannon O'Hurley,Bob Greene,Sigourney Weaver,Holly Hunter,Dermot Mulroney,William McNamara,Harry Connick Jr.,J.E. Freeman,Will Patton,John Rothman,Shannon O'Hurley,Bob Greene
112401,06/10/1995,Assassins,Richard Donner,Sylvester Stallone,Antonio Banderas,Julianne Moore,Anatoli Davydov,Muse Watson,Steve Kahan,Kelly Rowan,Reed Diamond,Kai Wulff,Kerry Skalsky,Sylvester Stallone,Antonio Banderas,Julianne Moore,Anatoli Davydov,Muse Watson,Steve Kahan,Kelly Rowan,Reed Diamond,Kai Wulff,Kerry Skalsky
114168,27/10/1995,Powder,Victor Salva,Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen,Jeff Goldblum,Brandon Smith,Bradford Tatum,Susan Tyrrell,Missy Crider,Ray Wise,Esteban Powell,Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen,Jeff Goldblum,Brandon Smith,Bradford Tatum,Susan Tyrrell,Missy Crider,Ray Wise,Esteban Powell
113627,27/10/1995,Leaving Las Vegas,Mike Figgis,Nicolas Cage,Elisabeth Shue,Julian Sands,Richard Lewis,Steven Weber,Kim Adams,Emily Procter,Stuart Regen,Valeria Golino,Graham Beckel,Nicolas Cage,Elisabeth Shue,Julian Sands,Richard Lewis,Steven Weber,Kim Adams,Emily Procter,Stuart Regen,Valeria Golino,Graham Beckel
