"titre":"annee":"realisateur"
"ipman":"2088":" Wilson Yip"
"ipman2":"2010":" Wilson Yip"
"ipman3":"2015":" Wilson Yip"
"crazy kung fu":"2005":"Stephen Chow"
"shaoling soccer":"2002":"Stephen Chow"
"karate kid":"1984":"John G. Avildsen"
"bloodsport":"1988":"Newt Arnold"
"shangai kid":"2000":"Tom Dey" 
